阈值,最大连通子图,第二大连通子图
0.002912912912912913,15,1
0.0029229229229229227,15,1
0.002932932932932933,15,1
0.002942942942942943,15,1
0.002952952952952953,15,1
0.002962962962962963,15,1
0.002972972972972973,15,1
0.002982982982982983,15,1
0.002992992992992993,15,1
0.003003003003003003,15,1
0.003013013013013013,15,1
0.003023023023023023,15,1
0.003033033033033033,15,1
0.003043043043043043,15,1
0.003053053053053053,15,1
0.003063063063063063,15,1
0.003073073073073073,15,1
0.003083083083083083,15,1
0.003093093093093093,15,1
0.003103103103103103,15,1
0.003113113113113113,15,1
0.003123123123123123,15,1
0.003133133133133133,15,1
0.003143143143143143,15,1
0.003153153153153153,15,1
0.003163163163163163,15,1
0.003173173173173173,15,1
0.003183183183183183,15,1
0.003193193193193193,15,1
0.0032032032032032033,15,1
0.003213213213213213,15,1
0.003223223223223223,15,1
0.0032332332332332334,15,1
0.003243243243243243,15,1
0.0032532532532532532,15,1
0.0032632632632632634,15,1
0.003273273273273273,15,1
0.0032832832832832832,15,1
0.0032932932932932934,15,1
0.003303303303303303,15,1
0.0033133133133133132,15,1
0.0033233233233233234,15,1
0.003333333333333333,15,1
0.0033433433433433433,15,1
0.0033533533533533534,15,1
0.003363363363363363,15,1
0.0033733733733733733,15,1
0.0033833833833833834,15,1
0.003393393393393393,15,1
0.0034034034034034033,15,1
0.0034134134134134134,15,1
0.003423423423423423,15,1
0.0034334334334334333,14,1
0.0034434434434434434,14,1
0.003453453453453453,14,1
0.0034634634634634633,14,1
0.0034734734734734735,13,1
0.0034834834834834836,13,1
0.0034934934934934933,13,1
0.0035035035035035035,13,1
0.0035135135135135136,13,1
0.0035235235235235233,13,1
0.0035335335335335335,13,1
0.0035435435435435436,13,1
0.0035535535535535533,13,1
0.0035635635635635635,13,1
0.0035735735735735736,13,1
0.0035835835835835834,13,1
0.0035935935935935935,13,1
0.0036036036036036037,13,1
0.0036136136136136134,13,1
0.0036236236236236235,13,1
0.0036336336336336337,13,1
0.0036436436436436434,13,1
0.0036536536536536535,13,1
0.0036636636636636637,13,1
0.0036736736736736734,13,1
0.0036836836836836835,13,1
0.0036936936936936937,13,1
0.0037037037037037034,13,1
0.0037137137137137136,13,1
0.0037237237237237237,13,1
0.003733733733733734,13,1
0.0037437437437437436,13,1
0.0037537537537537537,13,1
0.003763763763763764,13,1
0.0037737737737737736,13,1
0.0037837837837837837,13,1
0.003793793793793794,13,1
